wikidata_id,entity_label,is_human,street_names
Q1004532,Zoltán Fábry,True,Fábryho; S. Fábryho; Z. Fábryho; Zoltána Fábryho
Q1029499,Alexander Moyzes,True,A. Moyzesa; Moyzesova
Q1040777,Martin Hattala,True,Hattalova; Martina Hattalu
Q10416721,Štefan Furdek,True,Furdekova; Š. Furdeka; Štefana Furdeka
Q1046826,Odorín,False,Odorínska; Odorínska cesta
Q10545696,Ľudmila Podjavorinská,True,Podjavorinskej; Ľ. Podjavorinskej; Ľudmily Podjavorinskej
Q10545875,Ľudovít Bazovský,True,Bazovského; Dr. Ľudovíta Bazovského; M. A. Bazovského; M. Bazovského
Q1080664,Juraj Tranovský,True,J. Tranovského; Tranovského
Q1092622,Pavol Horov,True,Horovova; P. Horova; Pavla Horova
Q1095718,Kapušany,False,Kapušanská; Kapušianska
Q1102385,Ján Palárik,True,J. Palárika; Palárikov rad; Palárikova
Q1104940,Karol Salva,True,Karola Salvu; Námestie Karola Salvu; Salvova
Q1107656,záhrada,False,V záhradách; Záhradná; Záhradnícka
Q1121255,Pavol Križko,True,Križkova; Pavla Križku
Q11736366,Gustáv Kazimír Zechenter-Laskomerský,True,G. Z. Laskomerského; Laskomerského
Q11787765,Mária Medvecká,True,M. Medveckej; Márie Medveckej
Q11874240,Eduard Urx,True,E. Urxa; Eda Urxa; Urxova
Q11878597,Emil Boleslav Lukáč,True,E. B. Lukáča; Emila Boleslava Lukáča
Q12004160,Ferko Urbánek,True,Ferka Urbánka; Urbánkova
Q12018957,Hana Gregorová,True,Gregorovej; H. Gregorovej
Q12018973,Hana Meličková,True,H. Meličkovej; Hany Meličkovej
Q12021963,Ivan Markovič,True,Dr. I. Markoviča; Markovičova
Q12026992,Jozef Horák,True,Horákova; Jozefa Horáka
Q12027394,Ján Kostra,True,J. Kostru; Jána Kostru; Kostrova; Námestie Jána Kostru
Q12027436,Ján Mudroch,True,J. Mudrocha; Mudrochova
Q12035321,Marek Čulen,True,Marka Čulena; Čulenova; Štefana Čulena
Q12050136,Rudolf Dilong,True,R. Dilonga; Rudolfa Dilonga
Q1224644,Ondrej Plachý,True,O. Plachého; Ondreja Plachého; Plachého
Q1268173,Dušan Jurkovič,True,D. Jurkoviča; Sídlisko Dušana Jurkoviča
Q12706,Maxim Gorkij,True,Gorkého; M. Gorkého; Max. Gorkého; Maxima Gorkého
Q12735,Jan Amos Komenský,True,J. A. Komenského; J. Amosa Komenského; Jana A. Komenského; Jána Amosa Komenského; Komenského; Komenského park
Q12765281,Elena Maróthy-Šoltésová,True,E. M. Šoltésovej; Eleny Maróthy Šoltésovej; Eleny Maróthy-Šoltésovej; Námestie E. M. Šoltésovej; Šoltesovej; Šoltésovej
Q12765357,Emo Bohúň,True,Bohúňova; Ema Bohúňa; Petra Bohúňa
Q12767652,Ivan Bukovčan,True,I. Bukovčana; Ivana Bukovčana
Q12767691,Ivan Vladimír Roy,True,Royova; Vl. Roya; Vladimíra Roya
Q12768363,Juraj Sklenár,True,Juraja Sklenára; Sklenárova
Q12768593,Ján Paľo,True,J. Palárika; Jána Palárika
Q12768607,Ján Poničan,True,J. R. Poničana; Jána Poničana; Poničanova
Q12768675,Ján Zigmundík,True,Jána Zigmundíka; Zigmundíkova
Q12768950,Karol Holuby,True,Holubyho; Holubyho námestie; J. Ľ. Holubyho
Q12770108,Ladislav Exnár,True,L. Exnára; Ladislava Exnára
Q12770129,Ladislav Sára,True,L. Sáru; Ladislava Sáru
Q12771192,Matej Hrebenda,True,Hrebendova; Mateja Hrebendu
Q12771549,Michal Pavlovič,True,Pavlovičova; Pavlovičovo námestie; Rad mjr. Pavloviča
Q12771630,Mikuláš Dohnány,True,Dohnányho; Mikuláša Dohnányho
Q12771733,Miloš Vesel,True,Gen. Miloša Vesela; Veselá
Q12771735,Miloš Uher,True,Miloša Uhra; Uherova; kpt. Miloša Uhra
Q12771770,Mirko Nešpor,True,M. Nešpora; M. Nešporu; Mirka Nešpora; Nešporova
Q12773727,Peter Kellner-Hostinský,True,P. Hostinského; P. K. Hostinského
Q12773741,Peter Martinček,True,J. Martinčeka; Jozefa Martinčeka; Martina Martinčeka; Tomáša Martinčeka
Q12775548,Rudolf Jašík,True,Jašíkova; R. Jašíka; Rudolfa Jašíka
Q12777541,Tichomír Milkin,True,Donovalova; T. Milkina; Tich. Milkina
Q12781505,Ľudovít Kukorelli,True,Kukorelliho; Ľud. Kukorelliho
Q132964,Vladimir Vladimirovič Majakovskij,True,Majakovského; V. V. Majakovského
Q13371631,Štefan Králik,True,Š. Králika; Štefana Králika
Q13371654,Štefan Náhalka,True,Š. Náhalku; Štefana Nahalku
Q13375709,Arpád Vojtech Felcán,True,Arpáda Felcána; Felcánova
Q13420909,Jozef Kačka,True,J. Kačku; Jozefa Kačku
Q13421293,Ján Hollý,False,Hollého; J. Hollého; Janka Hollého; Jána Hollého
Q13421320,Ján Klempa,True,Jána Klempu; Klempova
Q13421575,Július Považan,True,J. Považana; Považanova
Q13441419,Martin Miloš Braxatoris,True,K. Braxatorisa; Martina Braxatorisa
Q13441465,Martin Čulen,True,M. Čulena; Martina Čulena
Q13538888,Samuel Medvecký,True,K. Medveckého; Ľ. Medveckého
Q1357126,Peter Jilemnický,True,Jilemnického; P. Jilemnického; Petra Jilemnického
Q1357554,Svetozár Hurban-Vajanský,True,S. H. Vajanského; Svetozára Hurbana Vajanského; Svätozára Hurbana Vajanského; Vajanského
Q1363993,Samo Tomášik,True,S. Tomášika; Sama Tomašika; Sama Tomášika; Samuela Tomášika; Tomášikova
Q1383201,Ján Hollý,True,Hollého; Jána Hollého
Q1384769,Martin Kukučín,True,Kukučinova; Kukučínova; Kukučínová; M. Kukučína; Martina Kukučína
Q1392478,Michal Miloslav Hodža,True,Dr. Milana Hodžu; Hodžova; M. Hodžu; M. M. Hodžu; Michala Miloslava Hodžu
Q142059,Julius Fučík,True,Fučíkova; J. Fučíka; Juliusa Fučíka; Júliusa Fučíka
Q150543,Alexander Dubček,True,A. Dubčeka; Alexandra Dubčeka; Dubčekova; Námestie Alexandra Dubčeka
Q1537896,Svätý Gorazd,True,Gorazdova; Gorazdovo nábrežie; Sv. Gorazda
Q154232,Alexandr Vasilievič Suvorov,True,A. V. Suvorova; Suvorovova
Q156070,Otakar Jaroš,True,Jarošova; Kapitána Jaroša; Kpt. Jaroša
Q157970,Božena Němcová,True,B. Nemcovej; B. Němcovej; Boženy Nemcovej; Boženy Němcovej; M. Nemcovej; Němcovej
Q158354,Pavel Jozef Šafárik,True,P. J. Šafárika; Pavla Jozefa Šafárika; Šafárikova; Šafárikovo námestie
Q158379,Jiří Wolker,True,J. Wolkera; Jiřího Wolkera; Wolkerova
Q15939223,Jozef Branecký,False,Braneckého; J. Braneckého
Q159642,František Palacký,True,F. Palackého; Palackého
Q1603028,Jozef Gregor Tajovský,True,J. G. Tajovského; Jozefa Gregora Tajovského; Tajovského
Q161368,Alois Jirásek,True,A. Jiráska; Jiráskova
Q163780,Slovenské národné povstanie,False,Námestie SNP; SNP; Slov. nár. povstania; Trieda SNP
Q164902,Martin Rázus,True,M. Rázusa; Martina Rázusa; Rázusova
Q1670526,Ján Smrek,True,J. Smreka; Jána Smreka
Q1675575,Ivan Krasko,True,I. Krasku; Ivana Krasku; Kraskova; Nábr. I. Krasku
Q1682808,Janko Alexy,True,Alexyho; Cesta J. Alexyho; J. Alexyho; Janka Alexyho
Q169038,Zdeněk Nejedlý,True,Nejedlého; Z. Nejedlého
Q16917,nemocnica,False,Nemocničná; Špitálska
Q1741,Viedeň,False,Viedenská; Viedenská cesta
Q17590,Vavrinec Rímsky,True,Laurínska; Námestie sv. Vavrinca; Svätovavrinecká
Q184933,Leoš Janáček,True,Janáčkova; Leoša Janáčka
Q185024,Ivan Stepanovič Konev,True,Konevova; Maršala Koneva
Q18595457,Juraj Langsfeld,True,Jurka Langsfelda; Langsfeldova; Ďurka Langsfelda
Q1899,Kyjev,False,Kyjevská; Kyjevské námestie
Q1903455,Martin Benka,True,Benkova; M. Benku; Martina Benku; Námestie Martina Benku
Q191917,Franz Lehár,True,F. Lehára; Lehárova
Q198632,Tehelňa,False,Tehelná; Za Tehelňou
Q1988365,Andrej Žarnov,True,A. Žarnova; Andreja Žarnova; Žarnovova
Q204338,Rodion Jakovlevič Malinovskij,True,Malinovského; Maršála Malinovského
Q2055549,Dušan Makovický,True,D. Makovického; Dušana Makovického; Makovického
Q214,Slovensko,False,Námestie Slovenskej republiky; Slovenská
Q220550,Ján Kollár,True,J. Kollára; Jána Kollára; Kollárova; Kollárovo námestie
Q222534,Matúš Čák Trenčiansky,True,M. Csáka; Matúša Čáka Trenčianskeho
Q22715,vinohrad,False,Vinohradná; Vinohradská
Q22731,kameň,False,Kamenná; Skalná
Q23413,hrad,False,Hradná; Podhradová
Q2354020,Fraňo Kráľ,True,F. Kráľa; Fraňa Kráľa
Q239925,Cyril a Metod,False,Cyrila Talapku; Cyrilometodejská; Cyrilometodská; Cyrilometodské námestie; Cyrilova; Konštantínova
Q2467280,Ján Kalinčiak,True,J. Kalinčiaka; Jána Kalinčiaka; Kalinčiaka; Kalinčiakova; Kalinčiaková; Nábrežie J. Kalinčiaka
Q252142,Štefan Anián Jedlík,True,A. Jedlika; Jedlíkova; Á. Jedlika
Q2544,1. máj,False,1. mája; Námestie 1. mája
Q255,Ludwig van Beethoven,True,Beethovenova; Ludvika van Beethovena; Námestie L. van Beethovena
Q255678,Štefan Marko Daxner,True,Daxnerova; Námestie Š. M. Daxnera; Štefana Marka Daxnera
Q26175,Trnava,False,Trnavská cesta; Trnavské mýto
Q2624895,Jonáš Záborský,True,J. Záborského; Jonáša Záborského; Záborského
Q262637,Samo Chalupka,True,Chaloupky; Chalupkova; Chalúpkova; S. Chalupku; S. Chalúpku; Sama Chalupku; Sama Chalúpku
Q265676,Jozef Ignác Bajza,True,Bajzova; J. I. Bajzu; Jozefa Ignáca Bajzu
Q267888,Rožňava,False,Rožňavská; Rožňavská cesta
Q28437,rumanček kamilkový,False,Kamilková; Rumančeková
Q302787,Ivanka pri Dunaji,False,Ivanská; Ivanská cesta
Q310000,Ludvík Svoboda,True,Arm. gen. L. Svobodu; Armádneho generála Svobodu; Gen. L. Svobodu; Gen. Svobodu; Generála Ludvika Svobodu; Generála Ludvíka Svobodu; Generála Svobodu; L. Svobodu; Ludvíka Svobodu; Námestie Ludvíka Svobodu; Námestie arm. gen. L. Svobodu; Trieda arm. gen. Svobodu; arm. gen. L. Svobodu
Q315222,Ľudovít Štúr,True,Nábr. Ľ. Štúra; Nábrežie Ľ. Štúra; Námestie Ľ. Štúra; Ľ. Štúra; Ľud. Štúra; Ľudovíta Štúra; Štúrova; Štúrovo nábrežie; Štúrovo námestie; Štúrová
Q319962,Milan Rastislav Štefánik,True,Gen. M. R. Štefánika; Gen. Milana Rastislava Štefánika; Gen. Štefánika; M. R. Štefánika; Milana Rastislava Štefánika; Nábrežie M.R. Štefánika; Nábrežie generála Milana Rastislava Štefánika; Námestie M. R. Štefánika; Námestie Milana Rastislava Štefánika; Námestie gen. M. R. Štefánika; Námestie gen. Štefánika; Sady M. R. Štefánika; gen. M. R. Štefánika; Štefánikova; Štefánikova trieda; Štefánikova štvrť; Štefánikovo Námestie; Štefánikovo námestie; Štvrť M. R. Štefánika
Q329265,Vavro Šrobár,True,V. Šrobára; Vavra Šrobára; Šrobárova
Q33057836,Ivan Baník,True,Baníkov; Baníkova; Bánik; Námestie baníkov
Q345078,Ľudovít Fulla,True,Fullova; Fullova ul.; Námestie Ľudovíta Fullu; Ľ. Fullu; Ľudovíta Fullu
Q347148,Rastislav,True,Rastislavova; Veľkomoravská
Q3489752,Mikuláš Galanda,True,Galandova; M. Galandu; Mikuláša Galandu
Q3499681,Ivan Stodola,True,I. Stodolu; Ivana Stodolu
Q3503937,František Švantner,True,F. Švantnera; Švantnerova
Q3504173,Klára Jarunková,True,K. Jarunkovej; Kláry Jarunkovej
Q3504212,Ľudo Ondrejov,True,Ľ. Ondrejova; Ľuda Ondrejova
Q350552,Kálmán Mikszáth,True,K. Mikszátha; Kálmána Mikszátha; Mikszátha; Mikszáthova
Q3505574,Česko-slovenská armáda,False,Československej armády; Čsl. armády
Q3505734,Frico Kafenda,True,F. Kafendu; Kafendova
Q3506285,Hana Zelinová,True,Hany Zelinovej; Zelinovej
Q3506294,Andrej Bagar,True,Andreja Bagara; Bagarova
Q3506661,Mikuláš Schneider-Trnavský,True,M. S. Trnavského; M. Schneidra Trnavského; M. Schneidra-Trnavského
Q355900,Pribina,True,Kniežaťa Pribinu; Pribinova; Pribinovo námestie
Q3563677,Samuel Jurkovič,True,Jurkovičova; S. Jurkoviča; Samuela Jurkoviča
Q3563704,Jozef Škultéty,True,Jozefa Škultétyho; Škultétyho
Q3564961,Albert Škarvan,True,A. Škarvana; Dr. A. Škarvana
Q3629542,August Horislav Škultéty,True,A. H. Škultétyho; Námestie A. H. Škultétyho
Q366978,Juraj Dóža,True,Dózsova; Dóžova; J. Dózsu; Juraja Dózsu; Námestie J. Dózsu
Q3701605,Daniel Gabriel Lichard,True,Daniela Licharda; Lichardova
Q376416,Janko Kráľ,True,J. Kráľa; Janka Kráľa; Nábrežie Janka Kráľa; Námestie J. Kráľa
Q3850969,Július Barč-Ivan,True,J. Barča-Ivana; Júliusa Barča Ivana
Q385147,Ján Nálepka,True,Kapitána Jána Nálepku; Kapitána Nálepku; Kpt. J. Nálepku; Kpt. Jána Nálepku; Kpt. Nálepku; Kpt.Nálepku; Nálepkova; Námestie Kpt. Nálepku; Námestie kpt. Nálepku; Sad kpt. Nálepku; kpt. J. Nálepku; Štvrť Kapitána Nálepku
Q391641,Šimon Jurovský,True,Jurovského; Šimona Jurovského
Q392368,Štefan Moyzes,True,A. Moyzesa; Moyzesova; Š. Moyzesa; Št. Moyzesa; Štefana Moysesa; Štefana Moyzesa
Q3984941,Terézia Vansová,True,Terézie Vansovej; Vansovej
Q4025726,Štefan Závodník,True,Závodníkova; Š. Závodníka
Q41309,Franz Liszt,True,Ferenca Liszta; Lisztova
Q4176375,Fraňo Štefunko,True,F. Štefunku; Štefunkova
Q4181190,Štefan Krčméry,True,A. H. Krčméryho; Karola Krčméryho; Krčméryho; Štefana Krčméryho
Q432927,Jozef Gabčík,True,Gabčíkova; Gabčíkovská cesta; Jozefa Gabčíka
Q43718,Nikolaj Vasilievič Gogoľ,True,Gogolova; Gogoľova; N. V. Gogoľa
Q43977,Ján Hus,True,Husova; J. Husa; Jána Husa
Q440577,Božena Slančíková-Timrava,True,B. S. Timravy; B. Slančíkovej; Boženy Slančíkovej-Timravy; Slančíkovej; Timravina; Timravy
Q4421,les,False,Lesná; Podlesná
Q4422775,Dominik Skutecký,True,D. Skuteckého; Skuteckého
Q443963,František Hečko,True,F. Hečku; Františka Hečku; Hečkova
Q44494,mlyn,False,Mlynská; Za mlynom
Q44497,baníctvo,False,Banská; Banícka
Q454,mier,False,Mierová; Námestie mieru
Q45581,Michal archanjel,False,Michalska; Michalská; Michalská bašta; Michalská časť; Michalský chodník; Námestie sv. Michala; Sv. Michala
Q46100,Eugen Suchoň,True,Eugena Suchoňa; Suchoňova
Q46405,Bjørnstjerne Bjørnson,True,B. Bjőrnsona; Björnsonova
Q46599,Michail Jurievič Lermontov,True,Lermontova; Lermontovova; M. J. Lermontova
Q467797,Andrej Hlinka,True,A. Hlinku; Andreja Hlinku; Hlinkova; Hlinky; Hliníková; Na Hlinku; Na Hlinky; Nábrežie A. Hlinku; Námestie A. Hlinku; Námestie Andreja Hlinku; Trieda Andreja Hlinku
Q470621,svätý Metod,True,Cyrila a Metoda; Metodova; Námestie Cyrila a Metoda; Námestie sv. Cyrila a Metoda; Sady Cyrila a Metoda; Sv. Cyrila a Metoda; Sv. Cyrila a sv. Metoda
Q471184,Vítězslav Nezval,True,Nezvalova; V. Nezvala
Q4767243,Janko Borodáč,True,Borodáčova; Janka Borodáča
Q48173,Bedřich Smetana,True,Bedřicha Smetanu; Smetanov háj; Smetanova; Smetanovo námestie
Q503068,Andrej Sládkovič,True,A. Sládkoviča; Andreja Sládkoviča; Námestie Andreja Sládkoviča; Sládkovičova
Q508663,Pavol Országh Hviezdoslav,True,Hviezdoslavov rad; Hviezdoslavova; Hviezdoslavovo námestie; Námestie P. O. Hviezdoslava; P. O. Hviezdoslava; Pavla Országha Hviezdoslava
Q515214,Karol Šmidke,True,K. Šmidkeho; Karola Šmidkeho; Karola Šmidkého; Šmidkeho
Q530425,Samuel Mikovíni,True,Mikovíniho; Samuela Mikovíniho
Q532174,Jan Šverma,True,J. Švermu; Jána Švermu; Švermov rad; Švermova
Q543073,Daniel Krman,True,D. Krmana; Daniela Krmana; Krmanova
Q552703,Martin Hamuljak,True,Hamuliakova; Hamuljakova; Martina Hamuljaka
Q560390,Ivan Olbracht,True,I. Olbrachta; Ivana Olbrachta; Olbrachtova
Q576032,Slaná,False,Pri Slanej; Slanská
Q58720,Michail Vasilievič Lomonosov,True,Lomonosova; Lomonosovova
Q588302,Anton Bernolák,True,A. Bernoláka; Ant. Bernoláka; Antona Bernoláka; Bernolákov rad; Bernolákova; Bernolákovo námestie; Námestie Antona Bernoláka
Q5934650,Hugolín Gavlovič,True,A. H. Gavloviča; Gavlovičova; H. Gavloviča
Q6148919,Ján Francisci,True,Francisciho; J. Francisciho; Jána Francisciho; Námestie Janka Francisciho
Q617674,Dominik Tatarka,True,D. Tatarku; Dominika Tatarku; Tatarkova
Q6373046,Karol Kmeťko,True,Dr. Karola Kmeťku; Karola Kmeťku; Kmeťkova
Q652975,Ladislav Medňanský,True,A. Medňanského; Ladislava Medňanského; Medňanského
Q662143,Janko Jesenský,True,J. Jesenského; Janka Jesenského; Jesenského; Jesenského nábrežie
Q666875,Aurel Stodola,True,A. Stodolu; Aurela Stodolu; Nábrežie Dr. Aurela Stodolu; Stodolova
Q6739796,Emil Belluš,True,Bellušova; E. Belluša
Q692171,Ján Cikker,True,Cikkerova; J. Cikkera
Q697179,Matej Bel,True,M. Bela; Mateja Bela; Mateja Bela Funtíka; Mateja Belu
Q697863,Karol Kuzmány,True,K. Kuzmányho; Karola Kuzmányho; Kuzmányho; Kuzmányho nábrežie
Q702648,Ján Golian,True,Gen. Goliana; Gen. Goliána; Golianova; J. Goliána
Q702651,Rudolf Viest,True,Gen. Viesta; R. Viesta; Viestova
Q706268,Juraj Jánošík,True,Juraja Jánošíka; Jánošíkova
Q718203,Jozef Hanula,True,Hanulova; J. Hanulu
Q7192701,Viliam Pauliny-Tóth,True,V. P. Tótha; V. Paulínyho Tótha; V. Paulínyho-Tótha; Viliama Paulínyho Tótha
Q7200,Alexandr Sergejevič Puškin,True,A. S. Puškina; Puškinova; Puškinová
Q730241,Jozef Karol Hell,True,Hellova; Jozefa Karola Hella
Q7315,Piotr Iľjič Čajkovskij,True,P. I. Čajkovského; Čajkovského
Q7327,Jurij Alexejevič Gagarin,True,Gagarina; Gagarinova; Gagarinovo námestie; J. A. Gagarina; J. Gagarina; Jurija Gagarina
Q765336,Andrej Kmeť,True,A. Kmeťa; Andreja Kmeťa; Juraja Kmeťa; Kmeťova; Nábrežie A. Kmeťa; Sad A. Kmeťa
Q765368,Andrej Kubina,True,A. Kubinu; Andreja Kubinu; Jozefa Kubinu
Q766882,Andrej Ľudovít Radlinský,True,A. Radlinského; Radlinského; Radlinského námestie
Q769613,Marián Blaha,True,Blahova; Bláhova; Mariána Blahu; P. Blahu; Pavla Blaha; Pavla Blahu
Q78492,Tomáš Garrigue Masaryk,True,Masarykova; T. G. Masaryka
Q7940636,Cyprián Majerník,True,C. Majerníka; Cypriana Majerníka; Majerníkova
Q820037,baník,False,Banícka; Námestie baníkov
Q823247,Laco Novomeský,True,L. Novomeského; Laca Novomeského; Ladislava Novomeského; Novomeského; Námestie L. Novomeského; Štvrť Ladislava Novomeského
Q823400,Juraj Palkovič,True,J. Palkoviča; Juraja Palkoviča; Palkovičova
Q83326,Béla Bartók,True,B. Bartóka; Bartókova; Bélu Bartóka; Korzo Bélu Bartóka; Námestie B. Bartóka; Námestie Bélu Bartóka
Q846744,Hornád,False,Hornádska; Za Hornádom
Q897973,Pavol Dobšinský,True,Dobšinského; P. Dobšinského; Pavla Dobšinského
Q898705,Juraj Fándly,True,Fándlyho; J. Fándlyho; Juraja Fándlyho
Q905900,Dionýz Štúr,True,D. Štúra; Dionýza Štúra
Q925563,Ján Chalupka,True,J. Chalupku; Jána Chalupku
Q933685,Jozef Miloslav Hurban,True,Hurbanova; Hurbanovo námestie; J. M. Hurbana; Jozefa Miloslava Hurbana; Nábr. J. M. Hurbana
Q93419,Móric Beňovský,True,Beňovského; M. A. Beňovského; Námestie Mórica Beňovského
Q9368136,Valentín Beniak,True,Beniakova; V. Beniaka; Valentína Beniaka
Q943745,Rudná,False,Rudnianska; Rudná
Q951434,Milo Urban,True,Dolný Urban; Horný Urban; M. Urbana; Mila Urbana; Námestie sv. Urbana; Svätého Urbana; Svätého Urbána; Urbanova
Q964103,Ján Levoslav Bella,True,Bellova; J. L. Bellu; Jána Bellu; Nová Bellova
Q974206,Ján Botto,True,Bottova; J. Bottu; Jána Bottu; Júliusa Bottu
Q975331,Vladimír Clementis,True,Cesta Vl. Clementisa; Clementisova; Clementisove sady; Clementisová; Dr. Clementisa; Dr. V. Clementisa; Dr. Vlada Clementisa; Dr. Vladimíra Clementisa; Námestie Dr. V. Clementisa; Námestie Vladimíra Clementisa; V. Clementisa; Vlada Clementisa; Vladimíra Clementisa
Q975382,Janko Matúška,True,J. Matušku; J. Matúšku; Janka Matušku; Janka Matúšku; Matuškova; Matúškova; Most Matúška
Q979946,Jozef Cíger-Hronský,True,J. C. Hronského; Jozefa Cígera Hronského
Q980550,Jozef Murgaš,True,J. Murgaša; Jozefa Murgaša; Mateja Murgaša; Murgašova; Námestie J. Murgaša
Q989,Ján Pavol II.,True,Alej Jána Pavla II.; Jána Pavla II.; Most Jána Pavla II.; Nábrežie Jána Pavla II; Nábrežie Jána Pavla II.; Námestie Jána Pavla II.
Q991,Fiodor Michajlovič Dostojevskij,True,Dostojevského; F. M. Dostojevského
